Symbols,AHL,AHPC,AKJCL,AKPL,API,BARUN,BEDC,BGWT,BHCL,BHDC,BHL,BHPL,BNHC,BPCL,BUNGAL,CHCL,CHL,CKHL,DHEL,DHPL,DOLTI,DORDI,EHPL,GHL,GLH,GVL,HDHPC,HHL,HIMSTAR,HPPL,HURJA,IHL,JOSHI,KBSH,KKHC,KPCL,LEC,MABEL,MAKAR,MANDU,MBJC,MCHL,MEHL,MEL,MEN,MEPDL,MHCL,MHL,MHNL,MKHC,MKHL,MKJC,MMKJL,MSHL,NGPL,NHDL,NHPC,NYADI,PHCL,PMHPL,PPCL,PPL,RADHI,RAWA,RFPL,RHGCL,RHPL,RIDI,RURU,SAHAS,SANVI,SGHC,SHEL,SHPC,SIKLES,SJCL,SMH,SMHL,SMJC,SPC,SPDL,SPHL,SPL,SSHL,TAMOR,TPC,TSHL,TVCL,UHEWA,ULHC,UMHL,UMRH,UNHPL,UPCL,UPPER,USHEC,USHL,VLUCL,YMHL
Local Share,3.40 Lac.( 10%),,,,,,5.44 Lac.( 10%),6.78 Lac.( 10%),9.09 Lac.( 10%),,,,,,,,,2.21 Lac.( 5.52%),,,,,,,,,,,,,,6.00 Lac.( 10%),,1.47 Lac.( 10%),,,,,7.60 Lac.( 10%),2.73 Lac.( 2%),,,8.00 Lac.( 10%),29.00 Lac.( 10%),,8.60 Lac.( 10%),8.03 Lac.( 10%),,,,,,15.00 Lac.( 15%),8.61 Lac.( 10%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 Lac.( 10%),,,,,,,5.10 Lac.( 10%),,,,,,,,14.25 Lac.( 7.45%),
Listed Date,2023-03-22,2009-11-17,2018-12-17,2017-04-16,2015-11-18,2015-10-14,2023-06-07,2023-10-11,2025-07-13,2022-07-27,2022-05-24,2023-01-02,2022-01-16,2004-12-28,2025-09-18,2005-05-30,2017-08-03,2023-11-02,2025-11-05,2017-02-13,2023-06-07,2022-07-13,2022-12-13,2019-02-15,2021-03-15,2022-04-17,2020-02-24,2022-08-05,2025-08-31,2017-08-11,2019-05-21,2023-06-19,2019-01-06,2023-08-20,2017-01-11,2018-10-11,2020-09-18,2025-08-15,2023-05-04,2023-10-10,2021-12-24,2023-06-15,2023-09-24,2023-07-04,2020-12-15,2026-08-11,2023-04-12,2022-08-16,2019-04-11,2023-03-20,2023-05-15,2021-09-21,2023-11-09,2023-10-11,2016-09-07,2017-11-14,2003-07-02,2021-11-24,2022-12-13,2018-12-10,2019-05-03,2022-11-13,2018-03-26,2023-07-04,2022-07-15,2022-07-30,2019-08-05,2014-07-16,2021-05-21,2021-11-29,2025-07-17,2022-08-16,2021-04-27,2014-01-15,2022-11-14,2019-08-05,2023-03-20,2023-03-02,2023-04-12,2021-11-24,2017-05-16,2022-11-13,2023-03-03,2020-10-22,2023-04-09,2021-10-29,2023-08-10,2023-11-28,2022-08-10,2023-09-24,2017-05-30,2020-12-18,2019-06-11,2019-03-17,2019-01-11,2022-08-16,2023-09-10,2023-12-20,2026-06-19
Unlocking Date,"2026-02-25
lock_open","2012-11-17
lock_open","2021-10-29
lock_open","2020-04-17
lock_open","2018-11-09
lock_open","2018-10-14
lock_open","2026-04-15
lock_open","2026-09-02
lock_open","2028-07-13 ( 671 Days Remaining )
lock","2025-06-16
lock_open","2025-04-11
lock_open","2025-12-16
lock_open","2024-10-07
lock_open","2007-12-28
lock_open","2028-09-18 ( 738 Days Remaining )
lock","2008-05-30
lock_open","2020-07-01
lock_open","2026-11-02 ( 52 Days Remaining )
lock","2028-08-14 ( 703 Days Remaining )
lock","2019-08-24
lock_open","2026-04-20
lock_open","2025-06-21
lock_open","2025-11-02
lock_open","2022-01-24
lock_open","2024-02-18
lock_open","2025-04-02
lock_open","2022-08-22
lock_open","2025-07-11
lock_open","2028-07-04 ( 662 Days Remaining )
lock","2020-07-19
lock_open","2021-04-16
lock_open","2026-05-09
lock_open","2021-12-11
lock_open","2026-07-20
lock_open","2020-01-11
lock_open","2021-10-11
lock_open","2023-09-18
lock_open","2028-08-15 ( 704 Days Remaining )
lock","2026-04-11
lock_open","2026-09-08
lock_open","2024-10-27
lock_open","2026-04-25
lock_open","2026-08-18
lock_open","2026-05-13
lock_open","2023-12-02
lock_open",,"2026-03-02
lock_open","2025-08-01
lock_open","2022-04-11
lock_open","2026-02-08
lock_open","2026-05-01
lock_open","2024-08-10
lock_open","2026-10-19 ( 38 Days Remaining )
lock","2026-09-27 ( 16 Days Remaining )
lock","2019-09-07
lock_open","2020-11-14
lock_open","2006-07-02
lock_open","2024-10-21
lock_open","2025-09-21
lock_open","2021-12-10
lock_open","2022-05-03
lock_open","2025-08-28
lock_open","2021-03-26
lock_open","2026-06-12
lock_open","2025-05-22
lock_open","2025-07-24
lock_open","2022-09-12
lock_open","2017-06-16
lock_open","2024-04-16
lock_open","2024-10-02
lock_open","2028-06-09 ( 637 Days Remaining )
lock","2025-08-02
lock_open","2024-04-08
lock_open","2017-01-15
lock_open","2025-09-26
lock_open","2022-08-05
lock_open","2026-02-16
lock_open","2026-02-04
lock_open","2026-03-30
lock_open","2024-10-31
lock_open","2020-05-16
lock_open","2025-08-08
lock_open","2026-02-09
lock_open","2022-12-10
lock_open","2026-03-21
lock_open","2024-08-11
lock_open","2026-07-03
lock_open","2026-02-28
lock_open","2025-07-15
lock_open","2026-08-13
lock_open","2020-05-30
lock_open","2023-11-29
lock_open","2022-06-11
lock_open","2022-03-17
lock_open","2022-01-11
lock_open","2025-07-13
lock_open","2026-07-05
lock_open","2026-11-21 ( 71 Days Remaining )
lock","2029-05-13 ( 975 Days Remaining )
lock"
EPS (Reported),-17.41,3.41,3.18,2.05,15.06,2.08,-1.70,9.01,10.81,11.79,7.72,-0.30,1.81,9.84,-3.84,7.59,1.72,13.25,-9.88,5.51,0.87,1.42,3.39,-1.33,2.33,13.02,-3.40,7.32,-29.72,12.57,7.57,-5.24,-6.54,7.46,-3.01,11.24,1.12,-1.16,10.30,23.36,2.83,-1.03,1.73,-2.77,25.52,10.09,7.19,8.76,12.78,1.58,13.83,0.46,11.13,14.55,1.27,14.00,-0.93,2.70,2.23,6.07,8.85,-2.29,19.75,11.17,2.71,-2.16,-21.13,2.04,10.40,29.72,-7.72,11.13,6.78,7.85,14.07,2.25,7.06,18.40,3.78,2.19,6.05,1.00,5.29,-4.03,18.73,11.17,-6.40,-7.36,18.91,-5.69,5.74,11.53,4.36,1.13,4.37,15.46,0.87,4.73,-7.62
EPS (Annualized),-17.41,3.41,3.18,2.05,15.06,2.08,-1.70,9.01,10.81,11.79,7.72,-0.30,1.81,9.84,-3.84,7.59,1.72,13.25,-9.88,5.51,0.87,1.42,3.39,-1.33,2.33,13.02,-3.40,7.32,-29.72,12.57,7.57,-5.24,-6.54,7.46,-3.01,11.24,1.12,-1.16,10.30,23.36,2.83,-1.03,1.73,-2.77,25.52,10.09,7.19,8.76,12.78,1.58,13.83,0.46,11.13,14.55,1.27,14.00,-0.93,2.70,2.23,6.07,8.85,-2.29,19.75,11.17,2.71,-2.16,-21.13,2.04,10.40,29.72,-7.72,11.13,6.78,7.85,14.07,2.25,9.40,18.40,3.78,2.19,6.05,1.00,5.29,-4.03,18.73,11.17,-6.40,-7.36,18.91,-5.69,5.74,11.53,4.36,1.13,4.37,15.46,0.87,4.73,-7.62
Dis EPS,-17.41,3.41,3.18,2.05,15.06,2.08,-1.7,9.01,10.81,11.79,7.72,-0.3,1.81,9.84,-3.84,7.59,1.72,13.25,-9.88,5.51,0.87,1.42,3.39,-1.33,2.33,13.02,-3.4,7.32,-29.72,12.57,7.57,-5.24,-6.54,7.46,-3.01,11.24,1.12,-1.16,10.3,23.36,2.83,-1.03,1.73,-2.77,25.52,10.09,7.19,8.76,12.78,1.58,13.83,0.46,11.13,14.55,1.27,14,-0.93,2.7,2.23,6.07,8.85,-2.29,19.75,11.17,2.71,-2.16,-21.13,2.04,10.4,29.72,-7.72,11.13,6.78,7.85,14.07,2.25,9.4,18.4,3.78,2.19,6.05,1,5.29,-4.03,18.73,11.17,-6.4,-7.36,18.91,-5.69,5.74,11.53,4.36,1.13,4.37,15.46,0.87,4.73,-7.62
ROA,-4.38,2.92,2.49,1.09,6.15,1.57,-1.13,6.20,8.25,4.38,3.21,-0.21,0.76,4.26,-1.07,5.91,1.00,4.47,-3.53,1.93,0.45,0.70,1.95,-0.94,0.36,4.15,-3.88,3.56,-8.37,3.68,4.17,-1.33,-9.05,5.27,-1.92,8.00,0.42,-0.36,2.93,6.08,0.76,-0.42,1.14,-1.52,10.49,3.81,5.07,4.93,4.04,0.05,5.48,0.23,3.57,5.60,0.76,9.51,-0.66,0.73,0.62,2.69,2.96,-2.23,10.08,4.79,1.34,-1.49,-6.14,1.25,6.25,7.36,-2.45,2.89,3.22,5.38,6.77,0.64,3.68,4.43,1.72,0.93,4.48,0.59,4.45,-2.42,4.35,7.60,-2.23,-1.58,6.76,-2.44,3.42,4.68,4.78,0.66,1.14,4.34,0.31,1.35,-2.85
ROE,-25.44,3.11,3.39,2.01,12.60,1.92,-3.66,7.95,9.61,9.96,9.51,-0.59,1.50,4.67,-4.72,6.13,2.04,13.23,-8.36,65.79,1.45,1.34,4.45,-1.36,2.08,10.41,-4.73,8.59,-43.61,9.63,7.72,-5.78,-10.07,5.73,-3.46,8.98,1.59,-1.14,8.98,14.34,2.94,4.03,2.68,-4.04,16.93,9.06,8.24,7.56,18.22,2.57,12.10,0.45,11.07,12.30,0.92,11.20,-0.97,3.92,2.18,7.28,8.97,-2.24,11.61,12.93,2.26,-2.30,-31.53,2.12,8.07,16.47,-7.27,13.31,6.17,5.71,12.33,2.68,7.17,15.40,3.45,3.61,5.54,1.09,5.22,-7.63,14.54,10.78,-10.41,-9.67,15.76,-6.43,5.42,10.29,4.15,1.03,9.83,12.99,0.87,3.43,-8.15
Net Worth,68.43,109.71,94.00,101.77,119.51,108.19,46.28,113.30,112.53,118.32,81.22,50.03,100.59,210.87,81.42,123.90,84.29,100.19,118.14,8.38,59.87,106.30,76.30,95.05,112.05,124.42,71.97,85.28,69.02,130.56,98.13,90.53,64.93,130.21,86.85,125.18,70.39,102.22,114.62,162.88,96.25,-25.60,64.67,58.19,150.78,111.38,87.28,116.00,70.11,61.81,114.34,101.97,100.57,118.26,138.35,124.92,95.46,68.80,102.24,83.39,98.65,102.59,170.14,86.32,119.78,93.56,67.01,102.03,128.82,180.58,106.21,83.65,109.81,137.50,114.13,83.76,130.95,119.50,109.59,109.88,109.19,91.84,101.23,52.89,128.83,103.64,61.47,76.12,119.40,88.51,105.95,112.00,105.02,109.67,44.48,119.02,100.10,137.71,93.47
P/E Ratio,-20.62,76.54,106.86,124.39,22.22,153.37,-175.82,52.83,48.20,35.37,27.40,-1500.00,149.89,65.24,-135.42,46.39,149.42,44.38,-56.28,49.73,351.72,175.35,93.22,-180.38,109.44,37.24,-62.88,44.81,-22.18,29.83,32.63,-58.40,-40.05,107.64,-90.93,40.39,225.18,-517.24,39.03,29.32,100.71,-254.37,141.04,-74.73,25.08,63.13,38.94,51.94,19.64,162.34,36.51,608.70,31.54,35.05,312.91,44.92,-284.52,130.33,136.77,49.88,37.82,-138.43,35.04,36.44,123.43,-120.88,-8.04,172.06,55.96,23.25,-75.13,26.59,44.22,65.95,40.16,103.16,71.10,25.11,107.14,178.08,57.02,516.00,120.79,-52.68,26.53,32.02,-54.30,-38.32,31.30,-56.78,94.93,44.66,80.37,294.51,43.46,32.02,597.59,79.92,-72.85
P/B Ratio,5.25,2.38,3.61,2.51,2.80,2.95,6.46,4.20,4.63,3.52,2.60,8.99,2.70,3.04,6.39,2.84,3.05,5.87,4.71,32.70,5.11,2.34,4.14,2.52,2.28,3.90,2.97,3.85,9.55,2.87,2.52,3.38,4.03,6.17,3.15,3.63,3.58,5.87,3.51,4.20,2.96,-10.23,3.77,3.56,4.24,5.72,3.21,3.92,3.58,4.15,4.42,2.75,3.49,4.31,2.87,5.03,2.77,5.11,2.98,3.63,3.39,3.09,4.07,4.72,2.79,2.79,2.53,3.44,4.52,3.83,5.46,3.54,2.73,3.77,4.95,2.77,3.83,3.87,3.70,3.55,3.16,5.62,6.31,4.01,3.86,3.45,5.65,3.70,4.96,3.65,5.14,4.60,3.34,3.03,4.27,4.16,5.19,2.74,5.94
Growth Rate,110.16,-69.23,54.97,-926.13,130.06,17.69,-70.20,-7.72,-,129.34,-171.65,-84.15,-153.44,48.33,-,6.44,-126.79,-1075.03,-,-312.07,-116.05,-142.47,144.11,-36.12,-226.83,20.62,135.96,14.91,19756.75,176.59,330.61,-1081.38,26.17,23.05,-19.94,11.48,-161.05,-,58.09,414.79,-512.81,-74.16,-143.19,-17.56,51.06,-,111.20,32.93,-138.39,-124.93,1927.91,-42.04,-1727.63,-5.26,187.17,10.81,-831.94,-143.33,-145.28,-197.43,-284.64,-755.71,-4.36,71.05,3416.66,-64.17,196.75,-55.68,-21.75,51.84,-345.66,9755.96,37.64,-9.36,77.47,-129.39,-17.27,277.68,73.63,476.43,32.85,-48.00,101.47,-1283.66,52.51,288.38,-12526.99,333.27,66.13,34.84,45.18,112.33,24.62,-80.01,-135.99,84.41,-97.94,-189.95,-
PEG Value,-0.19,-1.11,1.94,-0.13,0.17,8.67,2.50,-6.85,-,0.27,-0.16,17.83,-0.98,1.35,-,7.21,-1.18,-0.04,-,-0.16,-3.03,-1.23,0.65,4.99,-0.48,1.81,-0.46,3.00,0.00,0.17,0.10,0.05,-1.53,4.67,4.56,3.52,-1.40,-,0.67,0.07,-0.20,3.43,-0.98,4.26,0.49,-,0.35,1.58,-0.14,-1.30,0.02,-14.48,-0.02,-6.67,1.67,4.15,0.34,-0.91,-0.94,-0.25,-0.13,0.18,-8.03,0.51,0.04,1.88,-0.04,-3.09,-2.57,0.45,0.22,0.00,1.17,-7.04,0.52,-0.80,-4.12,0.09,1.46,0.37,1.74,-10.75,1.19,0.04,0.51,0.11,0.00,-0.11,0.47,-1.63,2.10,0.40,3.26,-3.68,-0.32,0.38,-6.10,-0.42,-
Graham No.,-,91.75,82.01,68.51,201.24,71.16,-,151.55,165.44,177.16,118.78,-,64.00,216.07,-,145.46,57.11,172.83,-,32.23,34.23,58.28,76.29,-,76.64,190.92,-,118.51,-,192.16,129.28,-,-,147.84,-,177.93,42.12,-,162.98,292.59,78.29,-,50.17,-,294.24,159.02,118.83,151.21,141.99,46.88,188.63,32.49,158.70,196.76,62.88,198.37,-,64.65,71.62,106.72,140.16,-,274.97,147.29,85.46,-,-,68.43,173.62,347.50,-,144.73,129.43,155.84,190.08,65.12,144.23,222.43,96.54,73.58,121.92,45.46,109.77,-,233.01,161.39,-,-,225.39,-,116.98,170.46,101.50,52.80,66.13,203.47,44.27,121.06,-
Adjusted Graham No.,,-151.87,148.01,-1379.50,1530.26,39.95,,5.15,NaN,1191.76,-923.65,,-192.38,410.09,,83.16,-149.20,-10363.12,,-1226.63,-68.62,-139.51,379.39,,-373.05,278.04,,125.66,,1706.16,1882.51,,,172.60,,164.69,-125.29,,502.98,7251.24,-1046.61,,-170.88,,1114.65,NaN,631.14,266.15,-1217.33,-134.90,19639.07,-11.31,-14031.54,34.57,182.23,198.25,,-266.96,-223.68,-840.99,-1792.15,,59.96,651.62,6806.93,,,-70.58,-101.05,1315.09,,79697.52,229.41,-4.95,887.04,-199.47,-45.41,3861.52,227.66,778.80,183.46,-28.97,426.61,,837.99,2431.84,,,1034.92,,225.96,1021.66,105.90,-59.26,-408.56,1053.35,-57.06,-629.39,
52W High,676.5,316.9,440,310,364.2,393,716,856,669,577.14,257.7,760,380,806,888,514,326,774,851,340,578,319.5,546.9,283.4,321.8,599,265,408.5,1171,424.3,305,622.9,380.9,1744.9,352.3,626,268.8,884.8,622,789.09,330.3,539,519,314,648.1,797.6,435,562.9,323.5,409.9,870,620,675,874,491,742,331.2,458.5,407,428,444.4,424,920,835,455.1,338.1,320,386,754.55,709,1015,455,354.1,579,692.9,358,776.42,760.17,563,561,463,633,990,243.9,507,429,900,676,667,587.5,642.06,610,560,422,238,530.9,940,626,693.6
52W Low,350.2,247.5,173,235,247.71,284.49,278,450.9,400,406,167,432,238.6,627,332.6,346,227.9,539,442.4,257.1,276.3,215,300,200.9,232,465.8,165,315,473.5,306.38,206,292.2,250.1,791,212,445.5,185.9,349.4,390.2,635,256,238.8,227,195,484.17,345,274,443.3,226,233,465,274,322.9,504,334.13,583.76,178.6,343.8,254.5,291.5,289,279,631.6,393,313,226,163,209,565.1,487.6,544,285,253.33,483.5,533.04,227,490,386.96,400,380.7,329.45,485.6,615.6,151.5,413,275.4,325,282,460.17,260,475.7,509.71,346.9,324,169.1,434,480,368,345
120 Days Avg,440.11,268.21,369.73,258.85,338.05,327.47,332.83,584.12,531.77,440.21,211.86,496.44,300.33,662.66,637.06,471.26,270.87,616.28,596.46,289.11,330.61,257.41,357.71,230.33,257.44,482.29,212.64,344.70,757.07,372.16,240.65,364.12,271.51,1216.95,271.71,473.64,220.02,636.34,458.22,734.30,274.85,291.50,316.66,221.30,600.39,619.58,323.78,478.45,248.46,293.25,503.48,448.09,462.98,624.39,417.88,635.77,271.38,375.50,303.29,322.59,352.34,332.74,729.85,465.88,346.16,269.84,253.61,352.40,625.96,665.99,630.94,331.83,304.60,506.01,570.55,275.42,534.91,430.95,447.79,429.13,378.13,550.71,671.51,204.75,457.95,360.77,437.61,469.43,597.29,394.48,579.78,531.64,394.81,355.26,195.58,497.68,556.41,443.76,597.52
180 Days Avg,467.65,275.65,375.14,265.72,340.26,337.73,369.83,633.65,539.26,452.29,217.69,515.35,315.76,675.47,628.38,477.53,280.40,642.55,613.50,296.54,367.43,267.98,376.37,237.04,265.57,487.85,219.82,354.97,811.74,377.70,252.11,398.30,279.14,1357.28,273.12,485.80,226.23,658.38,476.06,740.21,282.38,319.29,354.01,237.86,599.98,619.58,337.36,492.75,259.29,307.20,568.32,470.97,486.98,668.29,430.82,640.16,279.94,387.55,307.88,334.95,368.21,345.19,758.65,531.22,360.80,281.54,266.28,353.46,640.15,651.32,670.17,354.35,310.48,514.49,584.61,289.81,556.90,435.60,457.38,448.73,391.56,545.89,690.09,210.91,452.86,370.03,518.62,504.54,594.48,437.36,580.13,537.11,431.99,366.43,201.76,498.03,599.73,473.69,597.52
All Time High (ATH) Volume,1.04 Lac.,18.96 Lac.,29.19 Lac.,21.15 Lac.,22.79 Lac.,7.82 Lac.,7.13 Lac.,1.16 Lac.,3.28 Lac.,3.49 Lac.,86.78 Lac.,4.67 Lac.,3.88 Lac.,8.71 Lac.,2.33 Lac.,8.40 Lac.,3.54 Lac.,1.22 Lac.,2.11 Lac.,2.26 Lac.,2.86 Lac.,21.84 Lac.,3.42 Lac.,15.06 Lac.,27.22 Lac.,13.21 Lac.,27.29 Lac.,6.82 Lac.,96.22 K,25.32 Lac.,10.85 Lac.,1.76 Lac.,6.86 Lac.,1.49 Lac.,13.22 Lac.,13.52 Lac.,19.27 Lac.,1.25 Lac.,22.12 Lac.,1.21 Lac.,8.19 Lac.,1.32 Lac.,4.89 Lac.,4.70 Lac.,10.01 Lac.,1.31 Lac.,2.91 Lac.,3.76 Lac.,4.18 Lac.,3.78 Lac.,1.78 Lac.,8.78 Lac.,2.21 Lac.,80.60 K,26.59 Lac.,2.35 Lac.,28.54 Lac.,4.98 Lac.,11.86 Lac.,3.84 Lac.,3.79 Lac.,7.47 Lac.,12.44 Lac.,2.83 Lac.,6.84 Lac.,12.83 Lac.,9.51 Lac.,25.18 Lac.,2.08 Lac.,14.61 Lac.,3.74 Lac.,3.59 Lac.,19.73 Lac.,15.32 Lac.,1.80 Lac.,5.59 Lac.,1.36 Lac.,11.80 Lac.,4.57 Lac.,3.34 Lac.,8.06 Lac.,94.65 K,53.35 K,19.49 Lac.,8.70 Lac.,8.24 Lac.,1.03 Lac.,2.44 Lac.,6.83 Lac.,2.95 Lac.,11.60 Lac.,3.94 Lac.,11.47 Lac.,15.46 Lac.,27.69 Lac.,1.68 Lac.,88.45 K,1.58 Lac.,1.29 Lac.
52W H/L Volume,45.50 K / 20.00,15.31 Lac. / 26.29 K,29.19 Lac. / 12.38 K,16.94 Lac. / 13.81 K,18.42 Lac. / 22.00 K,7.82 Lac. / 4.22 K,7.13 Lac. / 20.00,62.27 K / 20.00,2.89 Lac. / 500.00,2.27 Lac. / 200.00,17.07 Lac. / 10.41 K,4.67 Lac. / 90.00,3.88 Lac. / 100.00,3.59 Lac. / 3.24 K,2.33 Lac. / 190.00,4.81 Lac. / 30.00,3.54 Lac. / 30.00,45.66 K / 20.00,2.11 Lac. / 460.00,57.70 K / 70.00,2.86 Lac. / 20.00,9.40 Lac. / 2.68 K,3.42 Lac. / 90.00,11.84 Lac. / 12.27 K,27.22 Lac. / 3.88 K,7.69 Lac. / 198.00,27.29 Lac. / 13.69 K,5.54 Lac. / 350.00,96.22 K / 290.00,13.79 Lac. / 7.22 K,10.85 Lac. / 5.40 K,1.30 Lac. / 20.00,6.74 Lac. / 1.37 K,1.49 Lac. / 10.00,13.22 Lac. / 100.00,4.17 Lac. / 170.00,19.27 Lac. / 7.17 K,1.25 Lac. / 110.00,22.12 Lac. / 40.00,39.35 K / 160.00,4.54 Lac. / 2.20 K,1.32 Lac. / 20.00,4.89 Lac. / 320.00,1.74 Lac. / 1.14 K,3.43 Lac. / 3.18 K,1.31 Lac. / 150.00,79.02 K / 943.00,1.55 Lac. / 349.00,2.17 Lac. / 40.00,3.78 Lac. / 370.00,90.15 K / 140.00,1.77 Lac. / 610.00,1.17 Lac. / 10.00,12.67 K / 10.00,24.10 Lac. / 39.22 K,1.66 Lac. / 90.00,28.54 Lac. / 2.42 K,1.19 Lac. / 300.00,11.86 Lac. / 215.00,2.10 Lac. / 40.00,2.07 Lac. / 10.00,7.47 Lac. / 100.00,7.46 Lac. / 6.91 K,2.83 Lac. / 10.00,6.84 Lac. / 70.00,5.63 Lac. / 1.69 K,6.03 Lac. / 110.00,25.18 Lac. / 13.46 K,1.40 Lac. / 276.00,6.19 Lac. / 3.82 K,3.74 Lac. / 2.09 K,3.59 Lac. / 50.00,18.52 Lac. / 16.18 K,5.18 Lac. / 4.02 K,1.60 Lac. / 210.00,2.87 Lac. / 605.00,1.36 Lac. / 80.00,11.80 Lac. / 3.11 K,2.12 Lac. / 20.00,1.05 Lac. / 187.00,6.96 Lac. / 865.00,94.65 K / 10.00,40.49 K / 10.00,19.49 Lac. / 6.73 K,8.70 Lac. / 542.00,8.24 Lac. / 280.00,78.90 K / 80.00,2.44 Lac. / 590.00,6.83 Lac. / 130.00,2.07 Lac. / 327.00,7.42 Lac. / 980.00,84.27 K / 110.00,11.47 Lac. / 4.86 K,7.85 Lac. / 5.26 K,25.48 Lac. / 23.33 K,1.68 Lac. / 30.00,59.83 K / 220.00,1.07 Lac. / 60.00,1.29 Lac. / 120.00
50D Avg Volume,2.08 K,63.10 K,2.77 Lac.,56.94 K,1.40 Lac.,22.29 K,15.95 K,6.30 K,50.85 K,7.25 K,77.74 K,5.41 K,18.92 K,17.18 K,25.78 K,81.29 K,17.77 K,2.53 K,20.42 K,4.39 K,20.60 K,22.16 K,10.17 K,1.22 Lac.,30.76 K,10.17 K,99.91 K,18.97 K,3.92 K,1.16 Lac.,46.95 K,6.61 K,35.54 K,17.99 K,3.09 Lac.,5.37 K,2.39 Lac.,7.12 K,1.09 Lac.,5.86 K,28.51 K,4.50 K,51.31 K,17.10 K,69.37 K,26.66 K,4.20 K,3.58 K,12.46 K,27.55 K,2.85 K,19.06 K,6.55 K,649.18,1.29 Lac.,2.12 K,2.24 Lac.,3.53 K,50.97 K,5.85 K,15.55 K,16.50 K,53.17 K,16.44 K,18.09 K,16.89 K,89.78 K,4.46 Lac.,3.90 K,94.59 K,9.35 K,43.77 K,58.66 K,55.80 K,10.60 K,21.92 K,8.79 K,88.22 K,22.22 K,4.09 K,40.42 K,7.09 K,1.79 K,92.51 K,1.10 Lac.,14.00 K,5.35 K,11.32 K,41.73 K,21.23 K,66.34 K,4.58 K,16.55 K,38.30 K,69.51 K,8.86 K,1.90 K,4.31 K,25.15 K
Bonus Shares,0%,5.00%,0.00%,0.00%,5.00%,4.75%,0.00%,14.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0%,0.00%,8.00%,0.00%,0.00%,0.00%,0%,0.00%,0.00%,0.00%,0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0%,10.00%,0.00%,7.00%,0%,0.00%,0.00%,0%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.00%,4.75%,9.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,21.00%,0.00%,0.00%,5.00%,0.00%,15.00%,0.00%,20.00%,15.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0%,0.00%,0.00%,0%,0.00%,15.00%,0.00%,7.00%,5.00%,0.00%,9.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cash Dividend,0%,0.26%,0.00%,0.00%,0.26%,0.25%,0.00%,6.00%,0.00%,0.26%,0.00%,0.00%,0.00%,6.00%,0.00%,4.00%,0.00%,0.00%,0.00%,0%,0.00%,0.00%,0.00%,0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0%,0.52%,0.00%,0.37%,0%,0.00%,0.00%,12.00%,0.00%,0.00%,0.00%,0.00%,1.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.79%,0.25%,0.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.88%,1.11%,0.00%,0.00%,0%,0.00%,0.79%,0.00%,1.11%,0.79%,0.00%,0.00%,0.53%,0.00%,0.00%,0%,0.00%,0.00%,0%,0.00%,0.79%,0.00%,0.37%,0.26%,0.00%,0.47%,0.00%,0.00%,0.00%,0.00%,0.00%
Total Dividend,0%,5.26%,0.00%,0.00%,5.26%,5.00%,0.00%,20.00%,0.00%,5.26%,0.00%,0.00%,0.00%,6.00%,0.00%,12.00%,0.00%,0.00%,0.00%,0%,0.00%,0.00%,0.00%,0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0%,10.52%,0.00%,7.37%,0%,0.00%,0.00%,12.00%,0.00%,0.00%,0.00%,0.00%,21.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.79%,5.00%,9.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.79%,22.11%,0.00%,0.00%,5.00%,0.00%,15.79%,0.00%,21.11%,15.79%,0.00%,0.00%,10.53%,0.00%,0.00%,0%,0.00%,0.00%,0%,0.00%,15.79%,0.00%,7.37%,5.26%,0.00%,9.47%,0.00%,0.00%,0.00%,0.00%,0.00%
